plate_map_name	cell_line	time_point	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent	volume_ul	amount_mg
LKCP001_MCF7_24H	MCF7	24H	A01	NA	NA	NA	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A02	NA	NA	NA	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A03	NA	NA	NA	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A04	BRD-K63828191-003-28-9	5.10044	10	DMSO	10	0.051
LKCP001_MCF7_24H	MCF7	24H	A05	BRD-K63828191-003-28-9	0.510044	1	DMSO	10	0.005
LKCP001_MCF7_24H	MCF7	24H	A06	BRD-K63828191-003-28-9	0.0510044	0.1	DMSO	10	0.001
LKCP001_MCF7_24H	MCF7	24H	A07	BRD-K27182532-001-01-5	4.6884	10	DMSO	10	0.047
LKCP001_MCF7_24H	MCF7	24H	A08	BRD-K27182532-001-01-5	0.46884	1	DMSO	10	0.005
LKCP001_MCF7_24H	MCF7	24H	A09	BRD-K27182532-001-01-5	0.046884	0.1	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A10	BRD-K67102207-236-04-4	1.871908	10	DMSO	10	0.019
LKCP001_MCF7_24H	MCF7	24H	A11	BRD-K67102207-236-04-4	0.1871908	1	DMSO	10	0.002
LKCP001_MCF7_24H	MCF7	24H	A12	BRD-K67102207-236-04-4	0.01871908	0.1	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A13	BRD-K99792991-001-35-6	4.06904	10	DMSO	10	0.041
LKCP001_MCF7_24H	MCF7	24H	A14	BRD-K99792991-001-35-6	0.406904	1	DMSO	10	0.004
LKCP001_MCF7_24H	MCF7	24H	A15	BRD-K99792991-001-35-6	0.0406904	0.1	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A16	BRD-K96550715-001-04-2	4.569857401	9.67079215570588	DMSO	10	0.046
LKCP001_MCF7_24H	MCF7	24H	A17	BRD-K96550715-001-04-2	0.45698574	0.967079215358967	DMSO	10	0.005
LKCP001_MCF7_24H	MCF7	24H	A18	BRD-K96550715-001-04-2	0.045698574	0.0967079215358967	DMSO	10	0
LKCP001_MCF7_24H	MCF7	24H	A19	BRD-K51747290-001-15-6	0.760547	10	DMSO	10	0.008
LKCP001_MCF7_24H	MCF7	24H	A20	BRD-K51747290-001-15-6	0.0760547	1	DMSO	10	0.001
LKCP001_MCF7_24H	MCF7	24H	A21	BRD-K51747290-001-15-6	0.00760547	0.1	DMSO	10	0
